Tên sản phẩm,Giá sản phẩm,Kích thước màn hình,Độ phân giải màn hình,Ram,Bộ nhớ trong,CPU,Camera sau,Camera trước,Pin,Bluetooth,Link,Thể loại sản phẩm,Cửa hàng
iPhone 12 Pro Max 512GB,33.890.000 VNĐ,"6.7inches,109.8cm2(chiếmkhoảng87.4%thânmáy)","1284x2778pixels,19.5:9",6GB,512GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.2,quétđộsâuTOF3DLiDARscanner",12MPƒ/2.2,Cóthểxemvideoliêntụctrong20giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-max/iphone-12-pro-max-512gb-p5421,IPHONE,24h STORE
iPhone 12 Pro 512GB,30.990.000 VNĐ,"6.1inches,90.2cm2","1170x2532pixels,19.5:9",6GB,512GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.0",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro/iphone-12-pro-512gb-p5419,IPHONE,24h STORE
iPhone 11 Pro Max 256GB,24.490.000 VNĐ,6.5inch,2688x1242,4GB,256GB,A13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max/iphone-11-pro-max-256gb-p4305,IPHONE,24h STORE
iPhone 12 Pro Max 256GB,28.590.000 VNĐ,"6.7inches,109.8cm2(chiếmkhoảng87.4%thânmáy)","1284x2778pixels,19.5:9",6GB,256GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.2,quétđộsâuTOF3DLiDARscanner",12MPƒ/2.2,Cóthểxemvideoliêntụctrong20giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-max/iphone-12-pro-max-256gb-p5420,IPHONE,24h STORE
iPhone 12 Pro 256GB,26.790.000 VNĐ,"6.1inches,90.2cm2","1170x2532pixels,19.5:9",6GB,256GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.0",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro/iphone-12-pro-256gb-p5418,IPHONE,24h STORE
iPhone 12 Pro Max 128GB,26.390.000 VNĐ,"6.7inches,109.8cm2(chiếmkhoảng87.4%thânmáy)","1284x2778pixels,19.5:9",6GB,128GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.2,quétđộsâuTOF3DLiDARscanner",12MPƒ/2.2,Cóthểxemvideoliêntụctrong20giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-max/iphone-12-pro-max-p5141,IPHONE,24h STORE
iPhone 12 Pro 128GB,24.390.000 VNĐ,"6.1inches,90.2cm2","1170x2532pixels,19.5:9",6GB,128GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.0",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro/iphone-12-pro-p5140,IPHONE,24h STORE
iPhone 11 Pro Max Hàng Công Ty,30.299.000 VNĐ,,,,,,,,,,https://24hstore.vn/iphone-11-pro-max/iphone-11-pro-max-hang-cong-ty-p5596,IPHONE,24h STORE
iPhone 11 Pro Max 512GB,29.990.000 VNĐ,6.5inch,FullHD+(1080x2340Pixels),4GB,512GB,A13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max/iphone-11-pro-max-512gb-p4308,IPHONE,24h STORE
iPhone 12 256GB,22.990.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,256GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12/iphone-12-256gb-p5414,IPHONE,24h STORE
iPhone 12 Pro Max 256GB Cũ,27.390.000 VNĐ,"6.7inches,109.8cm2(chiếmkhoảng87.4%thânmáy)","1284x2778pixels,19.5:9",6GB,256GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.2,quétđộsâuTOF3DLiDARscanner",12MPƒ/2.2,Cóthểxemvideoliêntụctrong20giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-max-cu/iphone-12-pro-max-256gb-cu-p5680,IPHONE,24h STORE
iPhone 12 128GB,20.890.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,128GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12/iphone-12-128gb-p5413,IPHONE,24h STORE
iPhone 11 Pro 512GB Cũ,25.990.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,512GB,A13Bionic,"3Camera(12MP+12MP+16MP),gócrộng,tele,gócsiêurộng",12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-512gb-cu-p4658,IPHONE,24h STORE
iPhone 11 Pro 512GB,25.990.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,512GB,A13Bionic,"3Camera(12MP+12MP+16MP),gócrộng,tele,gócsiêurộng",12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro/iphone-11-pro-512gb-p4302,IPHONE,24h STORE
iPhone 11 256GB,18.790.000 VNĐ,6.1inch,1792x828,4GB,256GB,chipA13Bionic,2camera(gócrộng12MP+gócsiêurộng12MP),12MP,"Hơn1giờsovớiXR,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11/iphone-11-256gb-p4294,IPHONE,24h STORE
iPhone 12 Mini 256GB,20.190.000 VNĐ,"5.4inches,71.9cm2(chiếmkhoảng85.1%thânmáy)","1080x2340pixels,19.5:9",4GB,256GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong15giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-mini/iphone-12-mini-256gb-p5416,IPHONE,24h STORE
iPhone 12 Pro Max 128GB Cũ,25.490.000 VNĐ,"6.7inches,109.8cm2(chiếmkhoảng87.4%thânmáy)","1284x2778pixels,19.5:9",6GB,128GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.2,quétđộsâuTOF3DLiDARscanner",12MPƒ/2.2,Cóthểxemvideoliêntụctrong20giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-max-cu/iphone-12-pro-max-cu-p5681,IPHONE,24h STORE
iPhone 12 64GB,19.490.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12/iphone-12-p5139,IPHONE,24h STORE
iPhone 11 Pro Max 64GB,24.990.000 VNĐ,6.5inch,2688x1242,4GB,64GB,ChipA13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"3969mAh,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max/iphone-11-pro-max-p4286,IPHONE,24h STORE
iPhone 12 Pro 256GB Cũ,24.990.000 VNĐ,"6.1inches,90.2cm2","1170x2532pixels,19.5:9",6GB,256GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.0",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-cu/iphone-12-pro-256gb-cu-p5674,IPHONE,24h STORE
iPhone 11 Pro 256GB,24.190.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,256GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro/iphone-11-pro-256gb-p4300,IPHONE,24h STORE
iPhone 11 128GB,16.490.000 VNĐ,6.1inch,1792x828pixel,4GB,128GB,chipA13Bionic,2camera(gócrộng12MP+gócsiêurộng12MP),12MP,"Hơn1giờsovớiXR,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11/iphone-11-128gb-p4301,IPHONE,24h STORE
iPhone 12 Mini 128GB,17.990.000 VNĐ,"5.4inches,71.9cm2(chiếmkhoảng85.1%thânmáy)","1080x2340pixels,19.5:9",4GB,128GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong15giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-mini/iphone-12-mini-128gb-p5415,IPHONE,24h STORE
iPhone 12 Pro 128GB Cũ,22.490.000 VNĐ,"6.1inches,90.2cm2","1170x2532pixels,19.5:9",6GB,128GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4,telephoto12MPƒ/2.0",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-pro-cu/iphone-12-pro-cu-p5675,IPHONE,24h STORE
iPhone 11 Pro Max 512GB Cũ,22.190.000 VNĐ,6.5inch,FullHD+(1080x2340Pixels),4GB,512GB,A13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-512gb-cu-p4663,IPHONE,24h STORE
iPhone 12 Mini 64GB,16.490.000 VNĐ,"5.4inches,71.9cm2(chiếmkhoảng85.1%thânmáy)","1080x2340pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong15giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-mini/iphone-12-mini-64gb-p5322,IPHONE,24h STORE
iPhone 11 Pro 64GB,21.890.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,64GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro/iphone-11-pro-p4285,IPHONE,24h STORE
iPhone 12 256GB Cũ,21.590.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,256GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-256gb-cu-p5670,IPHONE,24h STORE
iPhone 11 Pro Max 256GB Cũ,20.290.000 VNĐ,6.5inch,2688x1242,4GB,256GB,A13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-256gb-cu-p4662,IPHONE,24h STORE
iPhone 11 64GB,15.290.000 VNĐ,6.1inch,1792x828,4GB,64GB,chipA13Bionic,2camera(gócrộng12MP+gócsiêurộng12MP),12MP,"Hơn1giờsovớiXR,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11/iphone-11-64gb-p4296,IPHONE,24h STORE
iPhone 11 Pro Max 64GB Cũ,18.190.000 VNĐ,6.5inch,2688x1242,4GB,64GB,ChipA13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-64gb-cu-p4661,IPHONE,24h STORE
iPhone 11 Pro 256GB Cũ,17.490.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,256GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-256gb-cu-p4656,IPHONE,24h STORE
iPhone XS Max 512GB,19.288.000 VNĐ,,1242x2688pixels,4GB,512GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-512gb-p3370,IPHONE,24h STORE
iPhone 12 64GB Cũ,16.990.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-cu-p5672,IPHONE,24h STORE
iPhone 12 128GB Cũ,18.988.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,128GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-128gb-cu-p5671,IPHONE,24h STORE
iPhone XS Max 256GB,18.488.000 VNĐ,,1242x2688pixels,4GB,256GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-256gb-p3369,IPHONE,24h STORE
iPhone 11 Pro 256GB Đã Active - Fullbox,18.390.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,256GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-256gb-da-active-p4659,IPHONE,24h STORE
iPhone XS 256GB,18.188.000 VNĐ,5.8inch,1125x2436Pixels,4GB,256GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",2658mAh,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs/iphone-xs-256gb-p3371,IPHONE,24h STORE
iPhone 11 Pro 64GB Cũ,15.390.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,64GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-64gb-cu-p4653,IPHONE,24h STORE
iPhone XS Max 64GB,16.988.000 VNĐ,,1242x2688pixels,4GB,64GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-p3366,IPHONE,24h STORE
iPhone 12 Mini 64GB,16.490.000 VNĐ,"5.4inches,71.9cm2(chiếmkhoảng85.1%thânmáy)","1080x2340pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong15giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-mini/iphone-12-mini-64gb-p5322,IPHONE,24h STORE
iPhone 11 Pro 64GB,21.890.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,64GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro/iphone-11-pro-p4285,IPHONE,24h STORE
iPhone 12 256GB Cũ,21.590.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,256GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-256gb-cu-p5670,IPHONE,24h STORE
iPhone 11 Pro Max 256GB Cũ,20.290.000 VNĐ,6.5inch,2688x1242,4GB,256GB,A13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-256gb-cu-p4662,IPHONE,24h STORE
iPhone 11 64GB,15.290.000 VNĐ,6.1inch,1792x828,4GB,64GB,chipA13Bionic,2camera(gócrộng12MP+gócsiêurộng12MP),12MP,"Hơn1giờsovớiXR,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11/iphone-11-64gb-p4296,IPHONE,24h STORE
iPhone 11 Pro Max 64GB Cũ,18.190.000 VNĐ,6.5inch,2688x1242,4GB,64GB,ChipA13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-64gb-cu-p4661,IPHONE,24h STORE
iPhone 11 Pro 256GB Cũ,17.490.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,256GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-256gb-cu-p4656,IPHONE,24h STORE
iPhone XS Max 512GB,19.288.000 VNĐ,,1242x2688pixels,4GB,512GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-512gb-p3370,IPHONE,24h STORE
iPhone 12 64GB Cũ,16.990.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-cu-p5672,IPHONE,24h STORE
iPhone 12 128GB Cũ,18.988.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,128GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-128gb-cu-p5671,IPHONE,24h STORE
iPhone XS Max 256GB,18.488.000 VNĐ,,1242x2688pixels,4GB,256GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-256gb-p3369,IPHONE,24h STORE
iPhone 11 Pro 256GB Đã Active - Fullbox,18.390.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,256GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-256gb-da-active-p4659,IPHONE,24h STORE
iPhone XS 256GB,18.188.000 VNĐ,5.8inch,1125x2436Pixels,4GB,256GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",2658mAh,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs/iphone-xs-256gb-p3371,IPHONE,24h STORE
iPhone 11 Pro 64GB Cũ,15.390.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,64GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-64gb-cu-p4653,IPHONE,24h STORE
iPhone XS Max 64GB,16.988.000 VNĐ,,1242x2688pixels,4GB,64GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-p3366,IPHONE,24h STORE
iPhone 12 Mini 64GB,16.490.000 VNĐ,"5.4inches,71.9cm2(chiếmkhoảng85.1%thânmáy)","1080x2340pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong15giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-mini/iphone-12-mini-64gb-p5322,IPHONE,24h STORE
iPhone 11 Pro 64GB,21.890.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,64GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro/iphone-11-pro-p4285,IPHONE,24h STORE
iPhone 12 256GB Cũ,21.590.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,256GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-256gb-cu-p5670,IPHONE,24h STORE
iPhone 11 Pro Max 256GB Cũ,20.290.000 VNĐ,6.5inch,2688x1242,4GB,256GB,A13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-256gb-cu-p4662,IPHONE,24h STORE
iPhone 11 64GB,15.290.000 VNĐ,6.1inch,1792x828,4GB,64GB,chipA13Bionic,2camera(gócrộng12MP+gócsiêurộng12MP),12MP,"Hơn1giờsovớiXR,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11/iphone-11-64gb-p4296,IPHONE,24h STORE
iPhone 11 Pro Max 64GB Cũ,18.190.000 VNĐ,6.5inch,2688x1242,4GB,64GB,ChipA13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-64gb-cu-p4661,IPHONE,24h STORE
iPhone 11 Pro 256GB Cũ,17.490.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,256GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-256gb-cu-p4656,IPHONE,24h STORE
iPhone XS Max 512GB,19.288.000 VNĐ,,1242x2688pixels,4GB,512GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-512gb-p3370,IPHONE,24h STORE
iPhone 12 64GB Cũ,16.990.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-cu-p5672,IPHONE,24h STORE
iPhone 12 128GB Cũ,18.988.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,128GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-128gb-cu-p5671,IPHONE,24h STORE
